产品名称,发货前天数（实际）,发货前天数（计划）,每笔订单利润,销售额预测,每名客户销售额,装运状态,利润率,利润,发货日期,国家,地区,城市,子类别,客户名称,折扣,数量,省/自治区,类别,细分,订单 ID,订单日期,邮寄方式,销售额
"Cameo 商业信封, 每套 50 个",6,6,190,518,396,准时装运,48%,190,2016/5/13,中国,华东,苏州,信封,王辉,0%,5,江苏,办公用品,消费者,CN-2016-2766233,2016/5/7,标准级,396
"Enermax 信纸, 每包 12 个",6,6,150,940,717,准时装运,21%,150,2016/5/13,中国,华东,苏州,纸张,王辉,0%,3,江苏,办公用品,消费者,CN-2016-2766233,2016/5/7,标准级,717
"Wilson Jones 订书机, 耐用",3,3,339,"1,234",942,准时装运,36%,339,2016/5/11,中国,中南,玉林,装订机,殷宣,0%,4,广西,办公用品,消费者,CN-2016-1410437,2016/5/8,二级,942
"三星 信号增强器, 混合尺寸",3,3,774,"5,969","4,555",准时装运,17%,774,2016/5/11,中国,中南,玉林,电话,殷宣,0%,7,广西,技术,消费者,CN-2016-1410437,2016/5/8,二级,"4,555"
"诺基亚 智能手机, 全尺寸",3,3,348,"2,283","1,742",准时装运,20%,348,2016/5/11,中国,中南,玉林,电话,殷宣,0%,3,广西,技术,消费者,CN-2016-1410437,2016/5/8,二级,"1,742"
"Tenex 搁板, 工业",4,6,67,337,257,提前装运,26%,67,2016/5/12,中国,东北,沈阳,收纳具,徐荷,0%,1,辽宁,办公用品,公司,CN-2016-5909028,2016/5/8,标准级,257
"SanDisk 信纸, 每包 12 个",4,6,225,"1,286",981,提前装运,23%,225,2016/5/12,中国,东北,沈阳,纸张,徐荷,0%,4,辽宁,办公用品,公司,CN-2016-5909028,2016/5/8,标准级,981
"Binney & Smith 铅笔刀, 混合尺寸",4,6,0,438,334,提前装运,0%,0,2016/5/12,中国,华东,安庆,美术,徐岱,20%,3,安徽,办公用品,公司,CN-2016-4251154,2016/5/8,标准级,334
"Sanford 速写本, 金属",4,6,-44,457,349,提前装运,-13%,-44,2016/5/12,中国,华东,安庆,美术,徐岱,20%,2,安徽,办公用品,公司,CN-2016-4251154,2016/5/8,标准级,349
"Lesro 咖啡桌, 组装",4,6,"-1,159","1,240",946,提前装运,-123%,"-1,159",2016/5/12,中国,东北,沈阳,桌子,徐荷,60%,2,辽宁,家具,公司,CN-2016-5909028,2016/5/8,标准级,946
"Deflect-O 门挡, 一包多件",4,6,-58,323,246,提前装运,-23%,-58,2016/5/12,中国,东北,沈阳,用具,徐荷,40%,2,辽宁,家具,公司,CN-2016-5909028,2016/5/8,标准级,246
"Safco 搁架, 金属",4,6,"1,208","4,799","3,662",提前装运,33%,"1,208",2016/5/12,中国,华北,北京,书架,贾柏,0%,4,北京,家具,小型企业,CN-2016-4719760,2016/5/8,标准级,"3,662"
"思科 办公室电话机, 全尺寸",4,6,-153,300,229,提前装运,-67%,-153,2016/5/12,中国,东北,沈阳,电话,徐荷,40%,1,辽宁,技术,公司,CN-2016-5909028,2016/5/8,标准级,229
"摩托罗拉 信号增强器, 整包",4,6,-501,"1,576","1,203",提前装运,-42%,-501,2016/5/12,中国,东北,沈阳,电话,徐荷,40%,3,辽宁,技术,公司,CN-2016-5909028,2016/5/8,标准级,"1,203"
"SanDisk 鼠标, 回收",4,6,-22,133,101,提前装运,-22%,-22,2016/5/12,中国,东北,沈阳,配件,徐荷,40%,1,辽宁,技术,公司,CN-2016-5909028,2016/5/8,标准级,101
"Hon 椅垫, 黑色",6,6,-179,584,446,准时装运,-40%,-179,2016/5/15,中国,东北,西丰,椅子,肖崆,40%,3,辽宁,家具,消费者,US-2016-1103148,2016/5/9,标准级,446
"Hewlett 墨水, 彩色",6,6,-785,"2,203","1,681",准时装运,-47%,-785,2016/5/15,中国,东北,西丰,复印机,肖崆,40%,4,辽宁,技术,消费者,US-2016-1103148,2016/5/9,标准级,"1,681"
"Eldon 文件车, 单宽度",4,6,716,"2,347","1,791",提前装运,40%,716,2016/5/14,中国,中南,钦州,收纳具,秦黎明,0%,3,广西,办公用品,公司,CN-2016-5555490,2016/5/10,标准级,"1,791"
"Stockwell 橡皮筋, 金属",4,6,3,204,155,提前装运,2%,3,2016/5/14,中国,华东,济南,系固件,柯强,0%,2,山东,办公用品,消费者,US-2016-5720978,2016/5/10,标准级,155
"Avery 装订机盖, 回收",4,6,20,140,107,提前装运,19%,20,2016/5/14,中国,华东,济南,装订机,柯强,0%,2,山东,办公用品,消费者,US-2016-5720978,2016/5/10,标准级,107
"Office Star 扶手椅, 黑色",4,6,0,"5,687","4,340",提前装运,0%,0,2016/5/14,中国,华东,济南,椅子,柯强,0%,2,山东,家具,消费者,US-2016-5720978,2016/5/10,标准级,"4,340"
"Elite 美工刀, 锯齿状",5,6,41,386,295,提前装运,14%,41,2016/5/15,中国,华北,廊坊,用品,郭博,0%,2,河北,办公用品,公司,US-2016-1120887,2016/5/10,标准级,295
"Breville 微波炉, 红色",5,6,141,"3,690","2,816",提前装运,5%,141,2016/5/15,中国,东北,长春,器具,贺丹,0%,2,吉林,办公用品,消费者,CN-2016-2605699,2016/5/10,标准级,"2,816"
"佳能 复印机, 彩色",5,6,"1,476","8,059","6,150",提前装运,24%,"1,476",2016/5/15,中国,华北,廊坊,复印机,郭博,0%,5,河北,技术,公司,US-2016-1120887,2016/5/10,标准级,"6,150"
"Accos 按钉, 金属",6,6,167,627,478,准时装运,35%,167,2016/5/16,中国,中南,深圳,系固件,潘舟,0%,7,广东,办公用品,消费者,CN-2016-2575295,2016/5/10,标准级,478
"GlobeWeis 外皮和封条, 红色",6,6,114,305,233,准时装运,49%,114,2016/5/16,中国,华东,宿州,信封,施奇,0%,2,安徽,办公用品,消费者,US-2016-2756371,2016/5/10,标准级,233
"诺基亚 办公室电话机, 整包",6,6,474,"1,595","1,217",准时装运,39%,474,2016/5/16,中国,华东,宿州,电话,施奇,0%,4,安徽,技术,消费者,US-2016-2756371,2016/5/10,标准级,"1,217"
"Avery 有色标签, 耐用",4,3,70,418,319,延迟装运,22%,70,2016/5/15,中国,西南,成都,标签,施良,0%,5,四川,办公用品,消费者,US-2016-1964482,2016/5/11,二级,319
"Acme 修剪器, 蓝色",4,6,49,981,749,提前装运,7%,49,2016/5/15,中国,华东,杭州,用品,薛君,40%,6,浙江,办公用品,消费者,US-2016-2252147,2016/5/11,标准级,749
"BIC 钢笔, 混合尺寸",4,6,-106,43,33,提前装运,-325%,-106,2016/5/15,中国,华东,杭州,美术,薛君,80%,2,浙江,办公用品,消费者,US-2016-2252147,2016/5/11,标准级,33
"Deflect-O 门挡, 一包多件",4,3,-86,484,370,延迟装运,-23%,-86,2016/5/15,中国,西南,成都,用具,施良,40%,3,四川,家具,消费者,US-2016-1964482,2016/5/11,二级,370
"Novimex 折叠椅, 黑色",4,6,-380,878,670,提前装运,-57%,-380,2016/5/15,中国,华东,杭州,椅子,薛君,40%,3,浙江,家具,消费者,US-2016-2252147,2016/5/11,标准级,670
"松下 收据打印机, 耐用",4,6,-170,"2,664","2,033",提前装运,-8%,-170,2016/5/15,中国,华东,杭州,设备,薛君,40%,6,浙江,技术,消费者,US-2016-2252147,2016/5/11,标准级,"2,033"
"Green Bar 备忘录便条, 每包 12 个",0,0,20,645,492,准时装运,4%,20,2016/5/13,中国,中南,南宁,纸张,冯娜,0%,5,广西,办公用品,公司,US-2016-1777670,2016/5/13,当日,492
"Office Star 凳子, 可调",1,1,280,"1,942","1,482",准时装运,19%,280,2016/5/14,中国,中南,玉林,椅子,邓秋,10%,2,广西,家具,公司,US-2016-4505574,2016/5/13,一级,"1,482"
"Smead 合法证物标签, 耐用",6,6,15,351,268,准时装运,6%,15,2016/5/19,中国,华东,蚌埠,标签,邹丽雪,0%,5,安徽,办公用品,小型企业,CN-2016-1017090,2016/5/13,标准级,268
"Breville 搅拌机, 红色",2,3,-506,"1,324","1,011",提前装运,-50%,-506,2016/5/16,中国,中南,武汉,器具,白聪,40%,4,湖北,办公用品,公司,US-2016-3664982,2016/5/14,二级,"1,011"
"Tenex 文件车, 单宽度",3,1,532,"4,102","3,130",延迟装运,17%,532,2016/5/17,中国,华东,济宁,收纳具,韩丽华,0%,5,山东,办公用品,消费者,CN-2016-1516102,2016/5/14,一级,"3,130"
"StarTech 打印机, 红色",3,1,0,"6,196","4,729",延迟装运,0%,0,2016/5/17,中国,华东,济宁,设备,韩丽华,0%,4,山东,技术,消费者,CN-2016-1516102,2016/5/14,一级,"4,729"
"Avery 订书机, 透明",4,6,263,886,676,提前装运,39%,263,2016/5/18,中国,华东,淮南,装订机,钟忠,0%,3,安徽,办公用品,小型企业,US-2016-5128542,2016/5/14,标准级,676
"Harbour Creations 文件夹标签, 可调",4,6,13,122,93,提前装运,14%,13,2016/5/18,中国,西北,咸阳,标签,曹丽,0%,3,陕西,办公用品,小型企业,CN-2016-1755383,2016/5/14,标准级,93
"Binney & Smith 记号笔, 整包",4,6,85,447,341,提前装运,25%,85,2016/5/18,中国,西北,咸阳,美术,曹丽,0%,3,陕西,办公用品,小型企业,CN-2016-1755383,2016/5/14,标准级,341
"Acco 装订机, 透明",4,6,0,447,341,提前装运,0%,0,2016/5/18,中国,西北,咸阳,装订机,曹丽,0%,5,陕西,办公用品,小型企业,CN-2016-1755383,2016/5/14,标准级,341
"Enermax 路由器, 实惠",5,6,"1,109","6,319","4,822",提前装运,23%,"1,109",2016/5/19,中国,华东,合肥,配件,涂珑,0%,4,安徽,技术,小型企业,US-2016-4479623,2016/5/14,标准级,"4,822"
"Elite 尺子, 锯齿状",6,6,-38,270,206,准时装运,-19%,-38,2016/5/20,中国,华北,集宁,用品,徐嘉丽,40%,7,内蒙古,办公用品,消费者,US-2016-2447332,2016/5/14,标准级,206
"GlobeWeis 外皮和封条, 回收",6,6,5,123,94,准时装运,5%,5,2016/5/20,中国,西南,江油,信封,邢毅,0%,1,四川,办公用品,消费者,CN-2016-2310505,2016/5/14,标准级,94
"Eldon 盘, 工业",6,6,20,889,678,准时装运,3%,20,2016/5/20,中国,西南,江油,收纳具,邢毅,0%,3,四川,办公用品,消费者,CN-2016-2310505,2016/5/14,标准级,678
"Acco 标签, 实惠",6,6,5,63,48,准时装运,10%,5,2016/5/20,中国,西南,江油,装订机,邢毅,40%,2,四川,办公用品,消费者,CN-2016-2310505,2016/5/14,标准级,48
"Acco 订书机, 透明",6,6,-38,371,283,准时装运,-13%,-38,2016/5/20,中国,西南,江油,装订机,邢毅,40%,2,四川,办公用品,消费者,CN-2016-2310505,2016/5/14,标准级,283
"Cardinal 装订机盖, 实惠",6,6,7,132,101,准时装运,7%,7,2016/5/20,中国,西南,江油,装订机,邢毅,40%,3,四川,办公用品,消费者,CN-2016-2310505,2016/5/14,标准级,101
"Wilson Jones 标签, 实惠",6,6,0,71,54,准时装运,0%,0,2016/5/20,中国,西南,江油,装订机,邢毅,40%,3,四川,办公用品,消费者,CN-2016-2310505,2016/5/14,标准级,54
"宜家 书库, 传统",6,6,68,"2,667","2,035",准时装运,3%,68,2016/5/20,中国,西南,江油,书架,邢毅,40%,2,四川,家具,消费者,CN-2016-2310505,2016/5/14,标准级,"2,035"
"Novimex 凳子, 黑色",6,6,-635,"2,378","1,815",准时装运,-35%,-635,2016/5/20,中国,西南,江油,椅子,邢毅,40%,4,四川,家具,消费者,CN-2016-2310505,2016/5/14,标准级,"1,815"
"Office Star 凳子, 每套两件",6,6,-526,"1,293",987,准时装运,-53%,-526,2016/5/20,中国,西南,江油,椅子,邢毅,40%,2,四川,家具,消费者,CN-2016-2310505,2016/5/14,标准级,987
"Office Star 沙滩椅, 可调",6,6,-230,"1,063",811,准时装运,-28%,-230,2016/5/20,中国,西南,江油,椅子,邢毅,40%,5,四川,家具,消费者,CN-2016-2310505,2016/5/14,标准级,811
"Enermax 路由器, 耐用",6,6,-459,949,724,准时装运,-63%,-459,2016/5/20,中国,西南,江油,配件,邢毅,40%,1,四川,技术,消费者,CN-2016-2310505,2016/5/14,标准级,724
"贝尔金 键盘, 回收",6,6,76,"1,499","1,144",准时装运,7%,76,2016/5/20,中国,西南,江油,配件,邢毅,40%,5,四川,技术,消费者,CN-2016-2310505,2016/5/14,标准级,"1,144"
"Sanford 画布, 金属",7,6,111,633,483,延迟装运,23%,111,2016/5/21,中国,华东,萍乡,美术,巩光,0%,2,江西,办公用品,消费者,CN-2016-1516102,2016/5/14,标准级,483
"佳能 墨水, 红色",7,6,793,"2,667","2,035",延迟装运,39%,793,2016/5/21,中国,华东,萍乡,复印机,巩光,0%,3,江西,技术,消费者,CN-2016-1516102,2016/5/14,标准级,"2,035"
"GlobeWeis 外皮和封条, 每套 50 个",3,3,6,131,100,准时装运,6%,6,2016/5/18,中国,西南,西昌,信封,洪黎明,0%,1,四川,办公用品,消费者,CN-2016-4373153,2016/5/15,二级,100
"Enermax 闪存驱动器, 实惠",3,3,12,305,233,准时装运,5%,12,2016/5/18,中国,华东,临海,配件,孙斯云,40%,2,浙江,技术,消费者,CN-2016-4682811,2016/5/15,二级,233
"Novimex 运输标签, 耐用",4,3,71,209,159,延迟装运,45%,71,2016/5/19,中国,西南,成都,标签,林谦,0%,3,四川,办公用品,消费者,CN-2016-1726701,2016/5/15,二级,159
"Accos 夹子, 每包 12 个",4,3,-4,276,211,延迟装运,-2%,-4,2016/5/19,中国,西南,成都,系固件,林谦,40%,4,四川,办公用品,消费者,CN-2016-1726701,2016/5/15,二级,211
"Cardinal 装订机, 透明",4,3,18,146,112,延迟装运,16%,18,2016/5/19,中国,西南,成都,装订机,林谦,40%,3,四川,办公用品,消费者,CN-2016-1726701,2016/5/15,二级,112
"Elite 大剪刀, 工业",4,6,-177,535,408,提前装运,-43%,-177,2016/5/19,中国,东北,兴城,用品,沈彩,40%,3,辽宁,办公用品,消费者,CN-2016-3103245,2016/5/15,标准级,408
"佳能 墨水, 每套两件",4,6,-83,"1,620","1,236",提前装运,-7%,-83,2016/5/19,中国,东北,兴城,复印机,沈彩,40%,3,辽宁,技术,消费者,CN-2016-3103245,2016/5/15,标准级,"1,236"
"三星 音频基座, 混合尺寸",4,6,23,"1,868","1,425",提前装运,2%,23,2016/5/19,中国,东北,兴城,电话,沈彩,40%,3,辽宁,技术,消费者,CN-2016-3103245,2016/5/15,标准级,"1,425"
"KitchenAid 炉灶, 红色",6,6,"-2,395","10,460","7,982",准时装运,-30%,"-2,395",2016/5/21,中国,东北,沈阳,器具,秦芯,40%,5,辽宁,办公用品,消费者,CN-2016-4494383,2016/5/15,标准级,"7,982"
"Acco 装订机盖, 回收",6,6,250,669,511,准时装运,49%,250,2016/5/21,中国,西北,白碱滩,装订机,郝立勤,0%,8,新疆,办公用品,消费者,CN-2016-2883758,2016/5/15,标准级,511
"苹果 充电器, 蓝色",6,6,"3,117","19,453","14,845",准时装运,21%,"3,117",2016/5/21,中国,华东,九江,电话,雷菊,0%,5,江西,技术,消费者,CN-2016-2979175,2016/5/15,标准级,"14,845"
"柯尼卡 喷墨打印机, 红色",4,6,"4,565","13,295","10,146",提前装运,45%,"4,565",2016/5/20,中国,西南,弥阳,设备,巩廉,0%,7,云南,技术,消费者,CN-2016-2698139,2016/5/16,标准级,"10,146"
"爱普生 电话, 耐用",4,6,556,"1,488","1,135",提前装运,49%,556,2016/5/20,中国,西南,弥阳,设备,巩廉,0%,3,云南,技术,消费者,CN-2016-2698139,2016/5/16,标准级,"1,135"
"Kraft 邮寄品, 每套 50 个",6,6,16,230,176,准时装运,9%,16,2016/5/22,中国,东北,瓦房店,信封,严聪,0%,1,辽宁,办公用品,消费者,US-2016-5266113,2016/5/16,标准级,176
"Rogers 盘, 金属",6,6,244,743,567,准时装运,43%,244,2016/5/22,中国,东北,瓦房店,收纳具,严聪,0%,2,辽宁,办公用品,消费者,US-2016-5266113,2016/5/16,标准级,567
"Acco 订书机, 透明",6,6,-57,556,425,准时装运,-13%,-57,2016/5/22,中国,东北,瓦房店,装订机,严聪,40%,3,辽宁,办公用品,消费者,US-2016-5266113,2016/5/16,标准级,425
"Advantus 订书钉, 金属",6,6,30,134,102,准时装运,29%,30,2016/5/22,中国,华北,大同,系固件,孙壁,0%,2,山西,办公用品,消费者,CN-2016-3865865,2016/5/16,标准级,102
"Stockwell 图钉, 混合尺寸",6,6,29,201,154,准时装运,19%,29,2016/5/22,中国,华北,大同,系固件,孙壁,0%,3,山西,办公用品,消费者,CN-2016-3865865,2016/5/16,标准级,154
"Acco 装订机, 耐用",6,6,90,407,311,准时装运,29%,90,2016/5/22,中国,华北,大同,装订机,孙壁,0%,4,山西,办公用品,消费者,CN-2016-3865865,2016/5/16,标准级,311
"Office Star 摇椅, 每套两件",6,6,140,"6,128","4,677",准时装运,3%,140,2016/5/22,中国,华北,大同,椅子,孙壁,0%,7,山西,家具,消费者,CN-2016-3865865,2016/5/16,标准级,"4,677"
"Office Star 沙滩椅, 黑色",6,6,445,"1,297",990,准时装运,45%,445,2016/5/22,中国,华北,大同,椅子,孙壁,0%,4,山西,家具,消费者,CN-2016-3865865,2016/5/16,标准级,990
"SanDisk 鼠标, 可编程",6,6,-173,438,334,准时装运,-52%,-173,2016/5/22,中国,东北,瓦房店,配件,严聪,40%,3,辽宁,技术,消费者,US-2016-5266113,2016/5/16,标准级,334
"Memorex 鼠标, 回收",6,6,65,477,364,准时装运,18%,65,2016/5/22,中国,华北,大同,配件,孙壁,0%,3,山西,技术,消费者,CN-2016-3865865,2016/5/16,标准级,364
"Hon 椅垫, 每套两件",0,0,270,"1,272",971,准时装运,28%,270,2016/5/17,中国,中南,深圳,椅子,常崆,10%,4,广东,家具,消费者,US-2016-1815663,2016/5/17,当日,971
"罗技 路由器, 耐用",0,0,462,"3,027","2,310",准时装运,20%,462,2016/5/17,中国,中南,深圳,配件,常崆,0%,2,广东,技术,消费者,US-2016-1815663,2016/5/17,当日,"2,310"
"Smead 搁板, 工业",2,1,41,906,692,延迟装运,6%,41,2016/5/19,中国,中南,长沙,收纳具,马丽,0%,3,湖南,办公用品,消费者,CN-2016-5434393,2016/5/17,一级,692
"三星 耳机, 蓝色",2,1,102,"1,343","1,025",延迟装运,10%,102,2016/5/19,中国,中南,长沙,电话,马丽,0%,3,湖南,技术,消费者,CN-2016-5434393,2016/5/17,一级,"1,025"
"佳能 无线传真机, 数字化",3,1,617,"11,567","8,827",延迟装运,7%,617,2016/5/20,中国,华东,莆田,复印机,余舟,0%,5,福建,技术,小型企业,CN-2016-1399832,2016/5/17,一级,"8,827"
"Stockwell 按钉, 金属",4,6,97,266,203,提前装运,48%,97,2016/5/21,中国,西南,毕节,系固件,俞丹,0%,3,贵州,办公用品,消费者,CN-2016-4591322,2016/5/17,标准级,203
"Sanford 钢笔, 蓝色",4,6,3,136,104,提前装运,3%,3,2016/5/21,中国,西南,毕节,美术,俞丹,0%,2,贵州,办公用品,消费者,CN-2016-4591322,2016/5/17,标准级,104
"Safco 古典书架, 金属",4,6,"-3,063","9,634","7,352",提前装运,-42%,"-3,063",2016/5/21,中国,华东,无锡,书架,黄丽,40%,6,江苏,家具,消费者,CN-2016-2900587,2016/5/17,标准级,"7,352"
"Eldon 闹钟, 一包多件",4,6,214,"1,038",792,提前装运,27%,214,2016/5/21,中国,西南,毕节,用具,俞丹,0%,3,贵州,家具,消费者,CN-2016-4591322,2016/5/17,标准级,792
"Memorex 键区, 可编程",4,6,-26,686,523,提前装运,-5%,-26,2016/5/21,中国,华东,无锡,配件,黄丽,40%,4,江苏,技术,消费者,CN-2016-2900587,2016/5/17,标准级,523
"Elite 美工刀, 蓝色",5,6,39,427,326,提前装运,12%,39,2016/5/22,中国,东北,阿城,用品,赵芳,0%,2,黑龙江,办公用品,消费者,CN-2016-2924320,2016/5/17,标准级,326
"Eaton 计划信息表, 优质",6,6,63,378,288,准时装运,22%,63,2016/5/23,中国,华东,丰县,纸张,贾嫒,0%,3,江苏,办公用品,公司,CN-2016-5235171,2016/5/17,标准级,288
"Kleencut 美工刀, 钢",4,6,76,416,318,提前装运,24%,76,2016/5/22,中国,华北,天津,用品,常君,0%,2,天津,办公用品,公司,CN-2016-3702485,2016/5/18,标准级,318
"Bush 柜, 白色",4,6,395,"1,784","1,362",提前装运,29%,395,2016/5/22,中国,华北,天津,书架,常君,0%,2,天津,家具,公司,CN-2016-3702485,2016/5/18,标准级,"1,362"
"惠普 无线传真机, 彩色",0,0,253,"11,058","8,439",准时装运,3%,253,2016/5/20,中国,中南,石桥,复印机,麦德,0%,5,广东,技术,公司,CN-2016-2075002,2016/5/20,当日,"8,439"
"施乐 备忘录便条, 每包 12 个",2,3,247,648,495,提前装运,50%,247,2016/5/22,中国,中南,洛阳,纸张,徐虎,0%,6,河南,办公用品,消费者,CN-2016-2351493,2016/5/20,二级,495
"Cardinal 打孔机, 回收",2,3,109,713,544,提前装运,20%,109,2016/5/22,中国,华东,临沂,装订机,葛彩,0%,4,山东,办公用品,消费者,CN-2016-4114478,2016/5/20,二级,544
"Bush 书架, 传统",2,3,265,755,576,提前装运,46%,265,2016/5/22,中国,华东,临沂,书架,葛彩,0%,1,山东,家具,消费者,CN-2016-4114478,2016/5/20,二级,576
"Tenex 锁柜, 单宽度",0,0,400,"1,249",953,准时装运,42%,400,2016/5/21,中国,华东,寿光,收纳具,陶莞颖,0%,1,山东,办公用品,公司,CN-2016-3336873,2016/5/21,当日,953
"Ibico 打孔机, 实惠",0,0,54,372,284,准时装运,19%,54,2016/5/21,中国,华东,寿光,装订机,陶莞颖,0%,2,山东,办公用品,公司,CN-2016-3336873,2016/5/21,当日,284
"Wilson Jones 标签, 透明",3,1,9,108,83,延迟装运,11%,9,2016/5/24,中国,华东,南平,装订机,邵黎明,0%,3,福建,办公用品,公司,CN-2016-3649263,2016/5/21,一级,83
"Smead 合法证物标签, 白色",4,3,9,204,155,延迟装运,6%,9,2016/5/25,中国,中南,深圳,标签,白欢,0%,3,广东,办公用品,小型企业,CN-2016-1587245,2016/5/21,二级,155
"Acme 美工刀, 工业",4,3,206,"1,687","1,288",延迟装运,16%,206,2016/5/25,中国,中南,深圳,用品,白欢,0%,7,广东,办公用品,小型企业,CN-2016-1587245,2016/5/21,二级,"1,288"
"Eldon 门挡, 黑色",4,3,745,"3,374","2,575",延迟装运,29%,745,2016/5/25,中国,中南,深圳,用具,白欢,0%,11,广东,家具,小型企业,CN-2016-1587245,2016/5/21,二级,"2,575"
"Tenex 门挡, 一包多件",4,3,70,269,205,延迟装运,34%,70,2016/5/25,中国,中南,深圳,用具,白欢,0%,1,广东,家具,小型企业,CN-2016-1587245,2016/5/21,二级,205
"Stockwell 按钉, 混合尺寸",5,3,154,651,496,延迟装运,31%,154,2016/5/26,中国,华北,秦皇岛,系固件,洪辉,0%,9,河北,办公用品,小型企业,CN-2016-1933544,2016/5/21,二级,496
"Eaton 羊皮纸, 优质",5,3,60,165,126,延迟装运,48%,60,2016/5/26,中国,华北,秦皇岛,纸张,洪辉,0%,2,河北,办公用品,小型企业,CN-2016-1933544,2016/5/21,二级,126
"Novimex 圆形标签, 可调",5,6,9,26,19,提前装运,45%,9,2016/5/26,中国,华东,济宁,标签,胡凤,0%,1,山东,办公用品,消费者,CN-2016-4513584,2016/5/21,标准级,19
"Tenex 闹钟, 一包多件",6,6,150,"1,231",939,准时装运,16%,150,2016/5/27,中国,东北,长春,用具,夏明媚,0%,4,吉林,家具,公司,US-2016-2770008,2016/5/21,标准级,939
"Advantus 回形针, 金属",7,6,38,172,131,延迟装运,29%,38,2016/5/28,中国,华东,上海,系固件,吕欢悦,0%,2,上海,办公用品,消费者,CN-2016-2018203,2016/5/21,标准级,131
"Deflect-O 框架, 耐用",7,6,100,"1,310",999,延迟装运,10%,100,2016/5/28,中国,华东,上海,用具,吕欢悦,0%,2,上海,家具,消费者,CN-2016-2018203,2016/5/21,标准级,999
"Stockwell 图钉, 整包",2,3,-13,50,38,提前装运,-35%,-13,2016/5/24,中国,华东,宁波,系固件,卢爽,40%,1,浙江,办公用品,消费者,US-2016-5128542,2016/5/22,二级,38
"Brother 复印机, 每套两件",2,3,-62,"4,812","3,672",提前装运,-2%,-62,2016/5/24,中国,华东,宁波,复印机,卢爽,40%,5,浙江,技术,消费者,US-2016-5128542,2016/5/22,二级,"3,672"
"Ibico 孔加固材料, 回收",4,6,23,90,69,提前装运,34%,23,2016/5/26,中国,中南,漯河,装订机,邵杰,0%,2,河南,办公用品,小型企业,US-2016-3656854,2016/5/22,标准级,69
"Hamilton Beach 炉灶, 黑色",4,6,"3,539","16,565","12,641",提前装运,28%,"3,539",2016/5/26,中国,华东,青岛,器具,苏晒明,0%,5,山东,办公用品,消费者,CN-2016-2828982,2016/5/22,标准级,"12,641"
"Hamilton Beach 烤面包机, 银色",4,6,217,"1,781","1,359",提前装运,16%,217,2016/5/26,中国,华东,青岛,器具,苏晒明,0%,5,山东,办公用品,消费者,CN-2016-2828982,2016/5/22,标准级,"1,359"
"Rogers 文件夹, 蓝色",4,6,69,188,143,提前装运,48%,69,2016/5/26,中国,华东,青岛,收纳具,苏晒明,0%,1,山东,办公用品,消费者,CN-2016-2828982,2016/5/22,标准级,143
"松下 喷墨打印机, 耐用",4,6,116,"3,818","2,914",提前装运,4%,116,2016/5/26,中国,华东,南昌,设备,田妮,0%,2,江西,技术,小型企业,CN-2016-2062805,2016/5/22,标准级,"2,914"
"Enermax 计划信息表, 优质",5,6,0,275,210,提前装运,0%,0,2016/5/27,中国,东北,辽阳,纸张,佟崆,0%,2,辽宁,办公用品,小型企业,US-2016-2989709,2016/5/22,标准级,210
"Breville 烤面包机, 白色",5,6,954,"3,204","2,445",提前装运,39%,954,2016/5/27,中国,华北,天津,器具,刘婵,0%,7,天津,办公用品,消费者,CN-2016-1300278,2016/5/22,标准级,"2,445"
"Dania 搁架, 传统",5,6,"1,343","5,178","3,952",提前装运,34%,"1,343",2016/5/27,中国,西南,都匀,书架,马锦,0%,5,贵州,家具,公司,US-2016-5260002,2016/5/22,标准级,"3,952"
"Sauder 柜, 黑色",5,6,-165,617,470,提前装运,-35%,-165,2016/5/27,中国,东北,辽阳,书架,佟崆,40%,1,辽宁,家具,小型企业,US-2016-2989709,2016/5/22,标准级,470
"Deflect-O 相框, 优质",5,6,566,"1,545","1,179",提前装运,48%,566,2016/5/27,中国,华北,天津,用具,刘婵,0%,5,天津,家具,消费者,CN-2016-1300278,2016/5/22,标准级,"1,179"
"Tenex 门挡, 优质",5,6,149,780,595,提前装运,25%,149,2016/5/27,中国,华北,天津,用具,刘婵,0%,3,天津,家具,消费者,CN-2016-1300278,2016/5/22,标准级,595
"Green Bar 信纸, 每包 12 个",0,0,823,"2,249","1,716",准时装运,48%,823,2016/5/23,中国,华东,上海,纸张,万冬露,0%,7,上海,办公用品,消费者,CN-2016-3074981,2016/5/23,当日,"1,716"
"Harbour Creations 椅垫, 可调",0,0,"1,279","3,644","2,781",准时装运,46%,"1,279",2016/5/23,中国,华东,上海,椅子,万冬露,0%,8,上海,家具,消费者,CN-2016-3074981,2016/5/23,当日,"2,781"
"Kraft 邮寄品, 银色",1,1,41,245,187,准时装运,22%,41,2016/5/24,中国,中南,深圳,信封,白立荣,0%,1,广东,办公用品,消费者,CN-2016-5088485,2016/5/23,一级,187
"Acme 修剪器, 工业",3,1,312,"1,413","1,078",延迟装运,29%,312,2016/5/26,中国,东北,长春,用品,贺兰,0%,5,吉林,办公用品,公司,US-2016-1640388,2016/5/23,一级,"1,078"
"Enermax 信纸, 优质",3,1,264,"1,152",879,延迟装运,30%,264,2016/5/26,中国,东北,长春,纸张,贺兰,0%,4,吉林,办公用品,公司,US-2016-1640388,2016/5/23,一级,879
